Grouped_sctg2,dms_mode,ratio_2017
Aggregates,1,0.031589898
Aggregates,2,0.025929321
Aggregates,3,0.035000438
Aggregates,4,10.267907
Aggregates,5,0.079952712
Aggregates,6,0.139833874
Aggregates,7,0.004408702
Agriculture and Fish,1,0.726211316
Agriculture and Fish,2,0.214261748
Agriculture and Fish,3,0.236742836
Agriculture and Fish,4,12.19297901
Agriculture and Fish,5,0.386975766
Agriculture and Fish,7,1.936562661
Base chemicals and Pharmaceuticals,1,1.99676774
Base chemicals and Pharmaceuticals,2,0.531096359
Base chemicals and Pharmaceuticals,3,0.358220041
Base chemicals and Pharmaceuticals,4,254.35007
Base chemicals and Pharmaceuticals,5,4.416056406
Base chemicals and Pharmaceuticals,6,0.484317811
Base chemicals and Pharmaceuticals,7,1.360298336
Coal,1,0.072471663
Coal,2,0.026703196
Coal,3,0.081304097
Coal,5,0.034831765
"Food, Alcohol and Tobacco",1,1.469944322
"Food, Alcohol and Tobacco",2,0.529601043
"Food, Alcohol and Tobacco",3,0.533644015
"Food, Alcohol and Tobacco",4,11.51419482
"Food, Alcohol and Tobacco",5,0.96807169
"Food, Alcohol and Tobacco",7,1.421035455
Furniture,1,5.10548767
Furniture,2,3.590333502
Furniture,3,3.405480978
Furniture,4,30.22697857
Furniture,5,7.989822327
Furniture,7,8.115994448
Log,1,0.025335556
Log,2,0.184128244
Log,3,0.33901014
Log,4,14.07021495
Log,5,0.446816098
Log,7,0.388348072
"Machinery, Electric, and Precision Instruments",1,10.64110907
"Machinery, Electric, and Precision Instruments",2,6.337489506
"Machinery, Electric, and Precision Instruments",3,2.142722403
"Machinery, Electric, and Precision Instruments",4,183.7759329
"Machinery, Electric, and Precision Instruments",5,51.25888912
"Machinery, Electric, and Precision Instruments",7,41.62806782
Mixed Freight,1,3.753996907
Mixed Freight,2,3.31614944
Mixed Freight,3,0.315683525
Mixed Freight,4,51.10211955
Mixed Freight,5,17.34435424
Mixed Freight,7,3.236654738
Motorized vehicles,1,6.477851087
Motorized vehicles,2,9.01931889
Motorized vehicles,3,6.127088495
Motorized vehicles,4,41.15215005
Motorized vehicles,5,16.16228828
Motorized vehicles,7,10.7392205
Non-coal Energy Products,1,0.534444562
Non-coal Energy Products,2,0.379401862
Non-coal Energy Products,3,0.36990719
Non-coal Energy Products,4,6.111342299
Non-coal Energy Products,5,0.450596291
Non-coal Energy Products,6,0.291049114
Non-coal Energy Products,7,0.624304699
Non-coal Energy Products,8,0.322568829
Nonmetallic Mineral and Base Metal Products,1,0.7014447
Nonmetallic Mineral and Base Metal Products,2,0.692149175
Nonmetallic Mineral and Base Metal Products,3,0.428559687
Nonmetallic Mineral and Base Metal Products,4,54.67981747
Nonmetallic Mineral and Base Metal Products,5,1.573996438
Nonmetallic Mineral and Base Metal Products,7,3.006290988
"Other Chemicals, Plastics, and Rubber",1,2.948181545
"Other Chemicals, Plastics, and Rubber",2,1.163858056
"Other Chemicals, Plastics, and Rubber",3,0.964910346
"Other Chemicals, Plastics, and Rubber",4,32.93922178
"Other Chemicals, Plastics, and Rubber",5,2.133692426
"Other Chemicals, Plastics, and Rubber",7,2.59613853
Raw and Finished Wood Products,1,0.884236937
Raw and Finished Wood Products,2,0.460817523
Raw and Finished Wood Products,3,0.536756124
Raw and Finished Wood Products,4,18.77898102
Raw and Finished Wood Products,5,1.640361934
Raw and Finished Wood Products,7,1.259607085
Textiles and Leather,1,7.724173963
Textiles and Leather,2,4.698136151
Textiles and Leather,3,4.31693245
Textiles and Leather,4,33.40913708
Textiles and Leather,5,22.86894355
Textiles and Leather,7,6.932697631
Transportation Equipment,1,14.30213715
Transportation Equipment,2,3.91001225
Transportation Equipment,3,75.0761716
Transportation Equipment,4,486.1724467
Transportation Equipment,5,57.59886139
Transportation Equipment,7,215.9492909
Waste and Scrap,1,0.097580798
Waste and Scrap,2,0.259975032
Waste and Scrap,3,0.359100896
Waste and Scrap,4,87.63303874
Waste and Scrap,5,0.28383656
Waste and Scrap,7,0.375534918
